color1,shape1,fill1,number1,color2,shape2,fill2,number2,color3,shape3,fill3,number3,set
red,diamond,solid,3,green,oval,striped,3,green,oval,striped,1,False
green,squiqqle,striped,3,purple,diamond,striped,1,red,diamond,solid,3,False
purple,diamond,striped,2,green,squiqqle,outlined,1,purple,oval,solid,3,False
purple,squiqqle,striped,2,green,diamond,striped,2,purple,squiqqle,outlined,1,False
red,diamond,outlined,2,purple,diamond,solid,1,red,oval,solid,3,False
green,diamond,solid,1,purple,squiqqle,striped,1,red,diamond,outlined,3,False
purple,squiqqle,solid,1,red,oval,striped,1,red,squiqqle,outlined,3,False
green,oval,outlined,2,red,squiqqle,striped,1,red,squiqqle,solid,1,False
purple,oval,outlined,3,purple,squiqqle,striped,2,red,diamond,striped,2,False
purple,diamond,striped,1,purple,squiqqle,striped,1,green,diamond,striped,2,False
green,squiqqle,outlined,1,purple,squiqqle,outlined,1,red,squiqqle,striped,3,False
red,oval,striped,3,purple,squiqqle,striped,1,purple,oval,striped,1,False
green,diamond,striped,2,purple,squiqqle,striped,3,red,oval,outlined,3,False
red,squiqqle,solid,3,red,squiqqle,striped,3,red,oval,solid,1,False
green,diamond,outlined,1,green,squiqqle,solid,1,red,diamond,striped,3,False
red,squiqqle,solid,2,purple,squiqqle,striped,2,green,oval,outlined,1,False
purple,squiqqle,solid,2,red,diamond,striped,2,red,oval,solid,1,False
red,diamond,solid,1,green,squiqqle,striped,3,purple,squiqqle,outlined,2,False
green,diamond,outlined,3,green,diamond,solid,1,purple,oval,outlined,3,False
purple,squiqqle,outlined,1,green,oval,solid,1,red,squiqqle,solid,3,False
purple,squiqqle,outlined,3,green,oval,solid,1,green,squiqqle,striped,2,False
green,oval,striped,3,red,squiqqle,solid,3,green,oval,striped,3,False
purple,diamond,striped,2,green,squiqqle,striped,1,red,squiqqle,striped,3,False
red,diamond,striped,3,green,squiqqle,striped,1,green,diamond,solid,1,False
red,diamond,striped,2,red,oval,striped,2,green,diamond,striped,3,False
purple,diamond,outlined,2,red,oval,solid,3,red,oval,outlined,3,False
green,oval,striped,3,purple,oval,solid,1,red,diamond,outlined,1,False
purple,diamond,striped,3,purple,squiqqle,striped,1,red,oval,striped,3,False
green,squiqqle,striped,1,red,squiqqle,solid,2,purple,oval,solid,2,False
green,squiqqle,striped,1,purple,squiqqle,solid,1,purple,oval,solid,3,False
purple,oval,solid,1,green,diamond,striped,3,red,diamond,outlined,2,False
purple,diamond,solid,2,green,diamond,solid,3,purple,diamond,outlined,1,False
green,oval,striped,3,purple,oval,outlined,3,purple,diamond,striped,2,False
purple,oval,solid,3,green,diamond,solid,2,purple,diamond,solid,2,False
red,squiqqle,outlined,2,green,oval,striped,3,purple,oval,striped,3,False
purple,squiqqle,outlined,1,purple,squiqqle,solid,2,green,diamond,outlined,2,False
red,squiqqle,striped,1,purple,diamond,solid,2,purple,squiqqle,solid,3,False
green,diamond,solid,2,green,oval,striped,3,purple,diamond,outlined,3,False
red,squiqqle,striped,1,red,diamond,solid,3,green,oval,striped,3,False
green,diamond,solid,1,green,oval,outlined,3,green,oval,solid,1,False
green,squiqqle,solid,1,green,squiqqle,striped,3,green,oval,solid,2,False
green,diamond,striped,3,purple,oval,striped,2,purple,diamond,striped,1,False
red,oval,striped,3,green,oval,striped,1,green,oval,outlined,1,False
purple,squiqqle,outlined,3,red,oval,solid,3,red,diamond,outlined,2,False
green,oval,outlined,1,red,diamond,outlined,3,red,diamond,striped,3,False
green,squiqqle,striped,3,purple,oval,solid,1,purple,squiqqle,outlined,2,False
green,oval,striped,2,purple,oval,outlined,2,purple,oval,striped,1,False
red,oval,solid,1,purple,squiqqle,solid,1,purple,squiqqle,solid,3,False
purple,oval,outlined,1,purple,diamond,solid,1,red,oval,outlined,3,False
green,squiqqle,striped,1,purple,oval,striped,1,green,diamond,outlined,1,False
red,oval,solid,1,purple,diamond,striped,2,green,diamond,solid,3,False
purple,oval,outlined,3,purple,diamond,outlined,3,red,diamond,striped,2,False
red,diamond,solid,3,red,oval,outlined,1,green,diamond,solid,2,False
purple,squiqqle,solid,2,purple,squiqqle,solid,3,red,oval,solid,1,False
green,squiqqle,solid,3,red,squiqqle,striped,3,green,diamond,solid,1,False
red,oval,solid,3,green,diamond,outlined,3,red,diamond,outlined,3,False
red,squiqqle,outlined,3,red,oval,striped,2,green,squiqqle,striped,2,False
purple,squiqqle,striped,1,red,oval,striped,2,purple,squiqqle,striped,3,False
purple,oval,striped,3,purple,diamond,solid,2,red,diamond,striped,1,False
red,squiqqle,striped,3,purple,diamond,solid,2,purple,squiqqle,solid,3,False
red,diamond,solid,1,green,diamond,solid,3,green,oval,outlined,1,False
green,oval,striped,3,green,diamond,outlined,2,green,oval,solid,3,False
red,diamond,striped,3,red,diamond,outlined,1,green,oval,outlined,3,False
red,oval,solid,1,green,squiqqle,striped,3,red,squiqqle,outlined,3,False
purple,diamond,striped,1,purple,squiqqle,striped,1,purple,squiqqle,striped,3,False
green,squiqqle,solid,1,purple,squiqqle,striped,1,red,diamond,solid,2,False
red,oval,solid,2,red,oval,outlined,1,purple,diamond,outlined,3,False
red,oval,striped,2,purple,squiqqle,solid,1,purple,oval,outlined,2,False
green,diamond,solid,2,green,diamond,outlined,2,purple,squiqqle,striped,1,False
purple,diamond,striped,1,purple,squiqqle,striped,3,red,squiqqle,solid,3,False
green,oval,outlined,2,green,squiqqle,striped,3,purple,diamond,outlined,3,False
green,diamond,solid,3,red,oval,solid,3,purple,squiqqle,outlined,2,False
purple,squiqqle,solid,3,red,diamond,solid,3,green,oval,outlined,2,False
purple,squiqqle,outlined,3,red,oval,solid,1,green,squiqqle,solid,3,False
red,oval,outlined,2,red,oval,outlined,1,red,squiqqle,solid,1,False
purple,oval,striped,2,green,oval,solid,3,red,squiqqle,outlined,2,False
red,squiqqle,solid,2,green,diamond,striped,3,green,diamond,outlined,1,False
purple,diamond,striped,2,green,oval,solid,3,green,oval,solid,3,False
green,diamond,outlined,1,green,squiqqle,outlined,2,green,squiqqle,outlined,3,False
